timestamp,temperature_f,dew_point_f,humidity_%,wind,wind_speed_mph,wind_gust_mph,pressure_in,precip_in,weather_condition,datetime,weather_code,wind_code
1676508660.0,56.0,50.0,80.0,S,3.0,0.0,29.79,0.0,Cloudy,738567,26.0,10.0
1676512260.0,61.0,39.0,44.0,SW,16.0,24.0,29.91,0.0,Partly Cloudy,738567,29.0,12.0
1676515860.0,61.0,39.0,44.0,WSW,16.0,23.0,29.93,0.0,Mostly Cloudy,738567,27.0,13.0
1676519460.0,60.0,38.0,44.0,WSW,15.0,0.0,29.93,0.0,Mostly Cloudy,738567,27.0,13.0
1676523060.0,60.0,38.0,44.0,SW,13.0,0.0,29.94,0.0,Mostly Cloudy,738567,27.0,12.0
1676526660.0,60.0,38.0,44.0,WSW,12.0,21.0,29.95,0.0,Mostly Cloudy,738567,27.0,13.0
1676530260.0,59.0,38.0,46.0,WSW,6.0,0.0,29.98,0.0,Mostly Cloudy,738567,27.0,13.0
1676533860.0,57.0,39.0,51.0,SSW,9.0,0.0,29.98,0.0,Mostly Cloudy,738567,27.0,11.0
1676537460.0,58.0,39.0,49.0,CALM,0.0,0.0,29.99,0.0,Mostly Cloudy,738567,27.0,0.0
1676541060.0,63.0,38.0,40.0,CALM,0.0,0.0,29.99,0.0,Mostly Cloudy,738567,27.0,0.0
1676544660.0,60.0,38.0,44.0,NW,7.0,0.0,30.0,0.0,Mostly Cloudy,738567,27.0,16.0
1676548260.0,64.0,37.0,37.0,SW,3.0,0.0,30.0,0.0,Mostly Cloudy,738567,27.0,12.0
1676551860.0,66.0,38.0,36.0,CALM,0.0,0.0,29.99,0.0,Cloudy,738567,26.0,0.0
1676555460.0,68.0,38.0,33.0,VAR,3.0,0.0,29.95,0.0,Fair,738567,33.0,1.0
1676559060.0,67.0,39.0,36.0,SSE,6.0,0.0,29.92,0.0,Cloudy,738567,26.0,9.0
1676562660.0,65.0,42.0,43.0,S,6.0,0.0,29.92,0.0,Light Rain,738567,120.0,10.0
1676566260.0,62.0,46.0,56.0,S,12.0,0.0,29.96,0.0,Light Rain,738567,120.0,10.0
1676569860.0,56.0,47.0,72.0,SSW,7.0,0.0,29.92,0.0,Light Rain,738567,120.0,11.0
1676573460.0,57.0,47.0,69.0,VAR,5.0,0.0,29.89,0.0,Cloudy,738567,26.0,1.0
1676577060.0,57.0,47.0,69.0,S,7.0,0.0,29.89,0.0,Cloudy,738567,26.0,10.0
1676580660.0,56.0,47.0,72.0,S,9.0,0.0,29.88,0.0,Cloudy,738567,26.0,10.0
1676583360.0,55.0,47.0,74.0,S,7.0,0.0,29.87,0.0,Cloudy,738567,26.0,10.0
1676584260.0,55.0,48.0,77.0,S,7.0,0.0,29.86,0.0,Cloudy,738567,26.0,10.0
1676587860.0,57.0,49.0,74.0,SSW,8.0,0.0,29.85,0.0,Mostly Cloudy,738567,27.0,11.0
1676589060.0,57.0,50.0,77.0,S,7.0,0.0,29.83,0.0,Mostly Cloudy,738567,27.0,10.0
1676591460.0,57.0,50.0,77.0,S,6.0,0.0,29.82,0.0,Cloudy,738567,26.0,10.0
